ID;Räume in Funktionsbereichen;mind. Raumbreite;mind. Türhöhe [m];"mind. 
Türbreite [m]";m²;Erhöhter Flächenbedarf;Zentral;Eigene Freibereiche mit direktem Zugang;Zugang zu Notaufnahme;Nähe zu Neurologischer Station;Berührungsfreie Armaturen;Waschbecken einzeln;Hebeinrichtung Nasszelle;Spüle;Keine Wasserzapfstellen;Wasseranschluss;Teeküche;barrierefreiheit;erhöhte Sicherheitsanforderungen;Raumakustische Maßnahmen;Erhöhte Wandanforderungen (mechanisch);Erhöhte Wandanforderungen (Strahlenschutz);Tageslichtversorgung;Außenliegender Sonnenschutz;(Zusätzliche) Isolationsmöglichkeit;Schleusen;Kontakt- und Luftschleuse;Trennung reiner und unreiner Bereich;Reine + Unreine Raumzugänge;Überdruck Isolierung;"Spezialsteckdosen 
(Sauerstoff, Vakuum 
und Druckluft)";Klimatisierung / Klimasteuerung;Temperatursteuerung;Zentrale Wasseraufbereitung und -versorgung;Raumlufttechnische Anlagen zur Unterstützung der hygienischen Anforderungen;Anmerkungen;;
2.01;Allgemein Pflege;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Patientenzimmer (Einzel) mit NZ;3,45;2,1;1,25;10;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;;;Nein;Nein;Ja;Nein;Nein;Nein;Nein;;;
;Patientenzimmer (2-Bett) mit NZ;3,45;2,1;1,25;18;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;;;Nein;Nein;Ja;Nein;Nein;Nein;Nein;;;
;Patientenzimmer (3-Bett) mit NZ;3,45;2,1;1,25;26;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;;;Nein;Nein;Ja;Nein;Nein;Nein;Nein;;;
;Dienstraum/-platz;;;;25-30;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;"in der Nähe von  Personalaufenthaltsraum,
 große Glasöffnung zum Flur notwendiig";;
;Untersuchungs-/Behandlungsräume / Arztraum;;;1,26;16 - 20;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Ja;Nein;Nein;;;Nein;Nein;Ja;Nein;Nein;Nein;Nein;;;
;Pflegeraum rein;;;;20;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;
;Pflegeraum unrein;;;;10 - 12;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;
;Lagerräume;;;;16 - 20;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;
;Verteiler-, Stations- oder Teeküche;;;;;Nein;Ja;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Ja;;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;
;WC Personal;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;;;
;WC Besucher;;;;;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Ja;Ja;Ja;Nein;Nein;Nein;Nein;Nein;Nein;Nein;Nein;;;Nein;Nein;Nein;Nein;Nein;Nein;Ja;;;
